woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Abargelie,evi,17,0.11661554187341097,0.008296397105962217,17,0.13609036741638458,0.12244880360911395,0.11410883536254265,0.1107868783733228,0.10705088189993324
Abargelie,evi,18,0.11759052306065829,0.008345732155092057,17,0.13273112977754764,0.12160935550588013,0.11588203611928546,0.11076634894086569,0.1082236286841584
Abargelie,evi,19,0.11656112844242586,0.00814404003957832,17,0.1303619741793616,0.12339572631204,0.11441238441557905,0.10986546454961872,0.10723405741373147
Abargelie,evi,20,0.11639617081612579,0.009438791259670202,17,0.1414208613074796,0.11982090972024528,0.1140162208125054,0.11083392272863177,0.10576214642699348
Abargelie,evi,21,0.11543822048768901,0.01137153195623262,17,0.15145584247358032,0.11872901206835342,0.11449119671904516,0.10917095337548408,0.10276157731386559
Abargelie,evi,22,0.11203710940335994,0.01153370964570505,17,0.14441183641836236,0.11726566523789005,0.11296470394435885,0.1016578115862198,0.09739998494361644
Abargelie,evi,23,0.10882385973194181,0.010939214775088028,17,0.14288445934600932,0.11275117300071313,0.10859973722984556,0.10336700468202492,0.09440315703188554
Abargelie,evi,24,0.1046057767977103,0.011740445867222204,17,0.1399261736605757,0.10753335640573697,0.10508958544065153,0.09719951808187229,0.08444301597793936
Abargelie,evi,25,0.10568138547165103,0.00848747929080666,17,0.12580134950481517,0.10846370157543866,0.1036389250080694,0.09880652617980545,0.0965998949960724
Abargelie,evi,26,0.10815286697091303,0.007885371322369751,17,0.12218329102898304,0.1134147307251892,0.10896389449467428,0.10476146201382722,0.09141673771462107
Abargelie,evi,27,0.1169639244240944,0.01672152742990384,17,0.15926904201538922,0.12164081684583264,0.11626395668629616,0.1089684617186639,0.08018638906922831
Abargelie,evi,28,0.13153018148998133,0.026409465514295526,17,0.18523006708405937,0.1423393468721021,0.125173172719934,0.11746283244173886,0.08207286692966144
Abargelie,evi,29,0.1414909479943966,0.02420354544240846,17,0.1889717487833416,0.15834539638873693,0.13242824965531919,0.12831675126614456,0.10621945014203822
Abargelie,evi,30,0.1656035668441801,0.0352154455020293,17,0.24061483705306944,0.1767981766997439,0.16254515284611823,0.14332413689834791,0.10734479301494002
Abargelie,evi,31,0.1735114938473844,0.04054935909515106,17,0.2495212804528696,0.18908355327784881,0.1765324130639137,0.15504357868543475,0.10116908268769928
Abargelie,evi,32,0.20043780076431977,0.051555422513929354,17,0.28317694978266156,0.242758196944789,0.19654457087726157,0.17411077101352704,0.09338364250849937
Abargelie,evi,33,0.22969838777815255,0.037290124592849104,17,0.2834301024346744,0.2507968099735371,0.2352427486702337,0.2037748384092893,0.16399799218105246
Abargelie,evi,34,0.24797330148180252,0.0247972028253527,17,0.29179869860058016,0.26690842168697027,0.24702586785701364,0.23554067441127613,0.20006363063011554
Abargelie,evi,35,0.262287548417121,0.02350103637118323,17,0.30150672115721777,0.2814394437089932,0.2634729590959289,0.23647945877815663,0.228116596952174
Abargelie,evi,36,0.27142621529094246,0.025553292481707218,17,0.31355875061928445,0.2932830934766735,0.2786568608474204,0.24759301198780687,0.2305619082506586
