environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
lst_day,Abargelie,121,4,36.479330323487,0.648276177728367,15,37.6216637097919,36.9528139212886,36.5182299835898,36.0868234140334,35.2475036454289,lstd
lst_mean,Abargelie,121,4,28.6571903641829,0.436737895330509,15,29.3753671851936,29.0052515259686,28.7891995431068,28.3948639066744,27.8171629725226,lstm
lst_night,Abargelie,121,4,20.8350504131781,0.472071498377465,15,21.5428088460496,21.293687127911,20.7165920575818,20.4459864681084,19.9567353715834,lstn
ndvi,Abargelie,121,4,0.209918761435301,0.0137740244160586,15,0.235634373360465,0.223289037817134,0.204410832949017,0.198462779805287,0.196925085692998,ndvi
savi,Abargelie,121,4,0.13688878999265,0.00792906786579149,15,0.153403058706513,0.144467671875712,0.132862398771464,0.131175425083348,0.128898650551927,savi
evi,Abargelie,121,4,0.120582489699166,0.00739458364552946,15,0.136200236573728,0.127720620708415,0.116978073433165,0.115364178480575,0.113468337794468,evi
ndwi5,Abargelie,121,4,-0.0950896425929157,0.00437642321205826,15,-0.0893553870615234,-0.0917704786457201,-0.0935455824049262,-0.0971918110877652,-0.105784391194456,ndwi5
ndwi6,Abargelie,121,4,-0.084770480851056,0.00963592219756213,15,-0.0700947819447477,-0.0790783892866054,-0.082961327043847,-0.0904886069721879,-0.104611867277867,ndwi6
tmpart,Abargelie,121,5,0.538446086928736,0.876355655165649,15,3.49317248592773,0.675112294203505,0.322741649357374,0.017758908732404,0,tmpart
tmpac,Abargelie,121,5,5.82306886764761,9.14879373744957,15,26.1393884057548,14.8505188462017,0.270118293368033,0.0128191503383138,0,tmpac
totprec,Abargelie,121,5,5.65489409149732,9.23656133342348,15,26.1393884057548,14.8505188462017,0.218863501448857,0.00532428824044139,0,pmmc
lst_day,Abargelie,121,5,37.3876360125119,0.947573736445466,15,39.4162409249894,38.1710007007285,37.0749911779673,36.8150397462405,35.9331454230806,lstd
lst_mean,Abargelie,121,5,29.1891913857022,0.590593191854053,15,30.7864607691016,29.4045506340554,29.0228015841599,28.8225836164294,28.5426751653015,lstm
lst_night,Abargelie,121,5,20.9907467668078,0.654317062333512,15,22.156680632106,21.4105502766431,21.0161910264422,20.7047033929694,19.5903945888446,lstn
ndvi,Abargelie,121,5,0.204855083790311,0.0132107999727628,15,0.23032846702494,0.216655283830478,0.201164116360015,0.193013424588728,0.19044177619269,ndvi
savi,Abargelie,121,5,0.134970196846051,0.007774391996261,15,0.150955560731643,0.142366960290898,0.131984324616346,0.129500993061121,0.125178684554981,savi
evi,Abargelie,121,5,0.118781277616835,0.00727167337587677,15,0.133858756392888,0.125711321372407,0.116089998229049,0.113750357851668,0.110087890307036,evi
ndwi5,Abargelie,121,5,-0.0950228018073075,0.00436040563639242,15,-0.08856936035852,-0.0921277345987142,-0.0935022722833579,-0.0980250490084556,-0.105558648405637,ndwi5
ndwi6,Abargelie,121,5,-0.0861625762052015,0.00900242586492121,15,-0.0729368041397112,-0.0799585552343004,-0.0862180351873566,-0.0911954212135734,-0.106277139693763,ndwi6
tmpart,Abargelie,121,6,0.576214647754308,0.583352978638135,15,2.06022236223356,0.94905312638708506,0.39658223538632,0.0979122145456485,0,tmpart
tmpac,Abargelie,121,6,4.99389178553019,13.4192390635093,15,50.9666574281795,0.590643005678259,0.260966129657176,0,0,tmpac
totprec,Abargelie,121,6,4.99590001580994,13.4184405603348,15,50.9666574281795,0.590643005678259,0.260966129657176,2.55114855206559e-4,0,pmmc
lst_day,Abargelie,121,6,37.9740205125096,0.921620839343663,15,39.6293557725066,38.5576638816513,37.6392881190994,37.315602900524,36.6580077601547,lstd
lst_mean,Abargelie,121,6,29.6089497873562,0.616112923390063,15,30.9828192965384,29.7261784039115,29.582100984804,29.2782634146427,28.7168601927386,lstm
lst_night,Abargelie,121,6,21.2342379267906,0.643392215970228,15,22.3362828244101,21.7765135479399,21.3552005265258,20.7736449709337,19.9127234847366,lstn
ndvi,Abargelie,121,6,0.201294595477467,0.0124920618089863,15,0.227415592725003,0.211703374424834,0.198503568939809,0.189913955963505,0.188343307613755,ndvi
savi,Abargelie,121,6,0.133783108157335,0.00753265275442725,15,0.149935723747955,0.140367964207471,0.129857461012093,0.128754999621954,0.125089075415701,savi
evi,Abargelie,121,6,0.117643998594625,0.00704513979745277,15,0.132786133008886,0.123880631779836,0.113928784763261,0.112926451575183,0.109642818965645,evi
ndwi5,Abargelie,121,6,-0.0950954215258614,0.00422937637255785,15,-0.0900301647862184,-0.0920976131489013,-0.0932560297966199,-0.0982181566131248,-0.105087575177407,ndwi5
ndwi6,Abargelie,121,6,-0.088143863906007,0.00835418989885662,15,-0.075061236054176,-0.0817259214953486,-0.0881412639257775,-0.0917101017641812,-0.107869720243158,ndwi6
tmpart,Abargelie,121,7,1.75318663288487,4.15635569878386,15,16.4921605698218,1.55999629760275,0.450190875428907,0.139564701086767,0,tmpart
tmpac,Abargelie,121,7,8.707952117293,22.6228693378424,15,87.6455910207527,6.15160105773352,0.0551244415141135,0,0,tmpac
totprec,Abargelie,121,7,8.81670832428212,22.5821855186532,15,87.6455910207527,6.15160105773352,0.0563857521515237,0,0,pmmc
lst_day,Abargelie,121,7,38.8780736543427,1.18922588964817,15,40.3213673573336,39.8634189620663,39.1147511544138,38.427670334313,36.3641375409441,lstd
lst_mean,Abargelie,121,7,30.25045519753,0.894854141325547,15,31.7902262843275,30.9050679109827,30.3467426482827,29.9400555635795,28.5868940428655,lstm
lst_night,Abargelie,121,7,21.5939133240826,0.798947476035172,15,23.2590851945796,21.912356264792,21.6284425762813,20.9474730199807,20.4059301110776,lstn
ndvi,Abargelie,121,7,0.19803835155147,0.0115952246717496,15,0.223131769521888,0.207057042756423,0.195481012183223,0.189824237247035,0.186001850933927,ndvi
savi,Abargelie,121,7,0.132786880299909,0.00736460867352804,15,0.148989981776769,0.138097860539535,0.128971037218258,0.127479613973277,0.124507008546255,savi
evi,Abargelie,121,7,0.116718871051458,0.00688271844492613,15,0.131970827340602,0.12177623481317,0.113006403744669,0.111635088639806,0.109074231208024,evi
ndwi5,Abargelie,121,7,-0.0945325272743779,0.00370910097713189,15,-0.0905915247263154,-0.0918896161358674,-0.0930358454120591,-0.0972440796681465,-0.103125964638713,ndwi5
ndwi6,Abargelie,121,7,-0.0889392604198855,0.00779172591359612,15,-0.0758393632989726,-0.0827019149652577,-0.0877929126223127,-0.0945260543796551,-0.106647756524375,ndwi6
tmpart,Abargelie,121,8,4.21552795696007,8.7396394843629,15,34.3051845788871,5.27521748181301,0.508592351965776,0.327761239122287,0.0886136765123863,tmpart
tmpac,Abargelie,121,8,3.55235407873302,9.44843076308526,15,36.2260850401103,1.59670589044776,0.207115597776431,0,0,tmpac
totprec,Abargelie,121,8,3.76887921470478,9.44770260376624,15,36.2260850401103,1.59670589044776,0.207115597776431,0,0,pmmc
lst_day,Abargelie,121,8,40.0027112303427,1.37441873112043,15,42.8013464208386,40.5386264531158,39.8195715885958,39.553442590663,37.0376373316512,lstd
lst_mean,Abargelie,121,8,31.1077866413956,0.951409846890872,15,32.9312224020261,31.7619989910403,31.3290908200324,30.4422290103859,29.2687936926602,lstm
lst_night,Abargelie,121,8,22.2109574604683,0.759078824578533,15,23.5527465719994,22.8448389470561,22.2392752351422,21.5314937987855,21.0229424828204,lstn
ndvi,Abargelie,121,8,0.194747195780981,0.0108715453685401,15,0.21837039163648,0.203466967628137,0.190954659607122,0.186599708477343,0.179632000936461,ndvi
savi,Abargelie,121,8,0.131721509654438,0.00715294688444396,15,0.147722727619632,0.135481242126742,0.130025517530283,0.126729347518756,0.121372329063964,savi
evi,Abargelie,121,8,0.11573614945284,0.00665223687661997,15,0.130654867393733,0.11933848934234,0.11426094244045,0.11099485898328,0.106328076244126,evi
ndwi5,Abargelie,121,8,-0.0935704575214738,0.00383831736009248,15,-0.0883025683870046,-0.0907073943569415,-0.0925709163656048,-0.0953830463626176,-0.102597980721162,ndwi5
ndwi6,Abargelie,121,8,-0.0893659543209125,0.00745933616726611,15,-0.0777031915705855,-0.0831143290508126,-0.0881729766742489,-0.0958526194886393,-0.106364503482172,ndwi6
tmpart,Abargelie,121,9,4.6266103369846,6.09731234132816,15,16.3488787613388,11.3032296991812,0.787175946353466,0.396754129246279,0,tmpart
tmpac,Abargelie,121,9,8.31539000899056,22.8370244074705,15,88.0981779993077,3.57279214516049,0.200153965907646,1.83120435642648e-4,0,tmpac
totprec,Abargelie,121,9,8.24167096547737,22.8620742885512,15,88.0981779993077,3.57279214516049,0.200153965907646,1.83120435642648e-4,0,pmmc
lst_day,Abargelie,121,9,40.5698846859306,1.3597563685015,15,43.2630649206622,41.0515542322934,40.4781897046136,39.7470306531239,38.0251264589039,lstd
lst_mean,Abargelie,121,9,31.2520890531207,0.91627495864114,15,33.2752907042304,31.8946782683138,31.0068593979804,30.7615284160465,29.6469407197568,lstm
lst_night,Abargelie,121,9,21.933658575172,0.777718905548486,15,23.2875165097627,22.6478923260253,21.8952118012233,21.2464366097532,20.8619503912709,lstn
ndvi,Abargelie,121,9,0.192803078519037,0.0107011805938003,15,0.217819582544271,0.199582928531981,0.190610331438686,0.184808706022853,0.176858221474951,ndvi
savi,Abargelie,121,9,0.131142672041448,0.00687596087511925,15,0.147663840260836,0.134772255787671,0.128597836018085,0.126373526584502,0.121352893672656,savi
evi,Abargelie,121,9,0.115178424093404,0.00637541751624508,15,0.130462818618629,0.118580797007178,0.112929799585161,0.110693451726725,0.106264763298242,evi
ndwi5,Abargelie,121,9,-0.0932331082224254,0.00440637266075954,15,-0.0874931789738886,-0.0898674996407149,-0.0926821392675453,-0.096268202325385,-0.102632383890254,ndwi5
ndwi6,Abargelie,121,9,-0.0907010817146716,0.00794841963800411,15,-0.0775325303416937,-0.0866764541778765,-0.0885635113815731,-0.0946966799136984,-0.108568539851207,ndwi6
tmpart,Abargelie,121,10,7.4344422352673,9.67335751771262,15,28.4412478791713,16.3392585667557,3.60387680757756,0.464851532904781,0.00459206739371808,tmpart
