wid,woreda,doy,year,ndvi,savi,evi,ndwi5,ndwi6
93,Debre Elias,125.0,2012.0,0.23042157324373344,0.13979459410552336,0.12435314298565946,-0.1383644998784263,-0.16474799510039492
95,Gozamin,125.0,2012.0,0.23529692763153756,0.14379202174359193,0.12726043409805263,-0.11763526266997237,-0.12735502008665608
102,Aneded,125.0,2012.0,0.24301089526678507,0.14935661842826536,0.13394069610823667,-0.10626389374059382,-0.10681948297571238
97,Awabel,125.0,2012.0,0.2568843654626902,0.15622589785852706,0.14139148223350115,-0.10499153338993586,-0.09597923673689557
99,Shebel Berenta,125.0,2012.0,0.22909953579068715,0.14159327299623506,0.13035741434758816,-0.08081058295605911,-0.07179027249066146
98,Dejen,125.0,2012.0,0.26832588608337565,0.15908075441462657,0.14679681896972557,-0.07392686086839034,-0.047274458817730215
92,Debaytelatgen,125.0,2012.0,0.3317697295964101,0.18462036977639937,0.17064141755101775,-0.09322497487913949,-0.052468460498642934
91,Enemay,125.0,2012.0,0.2958761134835764,0.16290683194243796,0.14962633905768757,-0.06613129781053229,-0.02148233288708334
101,Sinan,125.0,2012.0,0.29570391288181574,0.1757123629933975,0.1537814871132013,-0.09635373312821427,-0.06853470648638554
110,Dembecha,125.0,2012.0,0.2570919383474603,0.1595997053715383,0.1410066827636822,-0.11915138527228702,-0.10895487243507256
94,Machakel,125.0,2012.0,0.2782145953470317,0.1699464342459966,0.14914700537777797,-0.11430148390779701,-0.08960738196064778
100,Debre Markos Town,125.0,2012.0,0.29297366214946274,0.1859536863374382,0.16294717669124853,-0.09902044169040466,-0.06593588886955849
116,Finoteselam Town,125.0,2012.0,0.2693021785211838,0.1675265363739385,0.151071930912959,-0.10247124878147719,-0.07679047435534159
112,Burie Zuria,125.0,2012.0,0.23563949820894506,0.14602631595507146,0.12926600566324079,-0.1267729441809932,-0.13156830179928722
130,Guagusa Shekudad,125.0,2012.0,0.28700540234409844,0.19168923019378165,0.17069855952571006,-0.12517555102263203,-0.1067801011299015
125,Banja,125.0,2012.0,0.3134416245664947,0.21110682904522476,0.19034518218359572,-0.10472485601382332,-0.06336075116603902
126,Ankesha,125.0,2012.0,0.26801473440949924,0.16969658964004683,0.150279877846653,-0.12096248271564655,-0.10630616848034359
113,Womberma,125.0,2012.0,0.2217674943117476,0.1328367806370698,0.11792489399998043,-0.1416077714460379,-0.16884742154058494
127,Guangua,125.0,2012.0,0.27221216918883845,0.17417931292969463,0.15519069831160845,-0.11970056508176023,-0.1028775099757548
13,Quara,125.0,2012.0,0.22502144739075083,0.14233266004167347,0.12734062017144013,-0.12065609284097144,-0.12020463447098409
129,Jawi,125.0,2012.0,0.23940317603514621,0.15405972092931527,0.14105622345801402,-0.11166971531779718,-0.10135624433163093
115,South Achefer,125.0,2012.0,0.24571413336935743,0.16905350662969354,0.15020192223591616,-0.1062959447750052,-0.0800927355661567
124,Dangila,125.0,2012.0,0.2598462888951344,0.17739948413153792,0.15647874690778454,-0.09614487160224129,-0.05754528647850238
128,Fagita Lekoma,125.0,2012.0,0.2826033205349037,0.19030128076213326,0.1688486476536916,-0.10771089345048039,-0.07347973997090713
103,North Achefer,125.0,2012.0,0.22546003807844914,0.14870926711825708,0.13191548424220206,-0.10026318509142172,-0.07560652492784171
14,Alefa,125.0,2012.0,0.24044138660619233,0.1560365187075163,0.13677651395270485,-0.10061773895830087,-0.08081648752686157
20,Takusa,125.0,2012.0,0.2325258856351496,0.15367271845145275,0.1356533074915445,-0.10565163659641098,-0.09127548200636618
12,Metema,125.0,2012.0,0.20956047390069796,0.1364791347302441,0.12153302458168883,-0.10149746191927872,-0.08735996159736326
11,Chilga,125.0,2012.0,0.2513375074379008,0.17005690987717528,0.14955769938762278,-0.1027703346104338,-0.07868810987784183
5,Mirab Armachiho,125.0,2012.0,0.18753922307893284,0.11830160386224012,0.10481959705953857,-0.0907531545544664,-0.06999988221159718
0,Adarkay,125.0,2012.0,0.24056468773823322,0.16163869360264077,0.14555542749847633,-0.10051961782444735,-0.07737062058374493
18,Telemt,125.0,2012.0,0.18994244117490017,0.1225925439005809,0.11211258053424115,-0.06025526518714009,-0.0472092565213697
74,Kewet,126.0,2012.0,0.33296004184985883,0.2153377648875586,0.20862917503406644,-0.034423616305513056,0.03325589967379759
133,Jilie Timuga,126.0,2012.0,0.3436995693383657,0.21908190223030458,0.20876354167272343,-0.041236286660278565,0.012799444132919722
70,Efratana Gidim,126.0,2012.0,0.44207887446531097,0.2842709440467128,0.2780558400435984,-0.02186030868041661,0.07523464966949307
