wid,woreda,doy,year,totprec
53,Sayint,359.0,2018.0,0.0
28,Estea,359.0,2018.0,0.0
31,Andabiet,359.0,2018.0,0.0
30,Debre Tabor Town,359.0,2018.0,0.0
29,Dera,359.0,2018.0,0.0
104,Bahir Dar Zuria,359.0,2018.0,0.0
137,Bahir Dar Town,359.0,2018.0,0.0
105,Yilmana Densa,359.0,2018.0,0.0
87,Hulet Iju Enesie,359.0,2018.0,0.0
114,Gonji Kolela,359.0,2018.0,0.0
109,Dega Damot,359.0,2018.0,0.02757493780963183
106,Mecha,359.0,2018.0,0.0
108,Quarit,359.0,2018.0,0.0
107,Sekela,359.0,2018.0,0.0
111,Jabi Tehnan,359.0,2018.0,0.0
86,Bibugn,359.0,2018.0,0.001699673312479914
90,Enarji Enawuga,359.0,2018.0,0.0
88,Goncha Siso Enese,359.0,2018.0,0.0
89,Enebse Sar Mider,359.0,2018.0,0.0
61,Mehal Sayint,359.0,2018.0,0.0
54,Borena,359.0,2018.0,0.0
58,Wogedi,359.0,2018.0,0.0
52,Legambo,359.0,2018.0,0.0
55,Kelela,359.0,2018.0,0.0
62,Legehida,359.0,2018.0,0.0
56,Jamma,359.0,2018.0,0.0
44,Tenta,359.0,2018.0,0.0
51,Dessie Zuria,359.0,2018.0,0.0
42,Dawunt,359.0,2018.0,0.0
45,Kuta Ber,359.0,2018.0,0.0
60,Dessie Town,359.0,2018.0,0.0
47,Tehulederie,359.0,2018.0,0.0
59,Kombolcha Town,359.0,2018.0,0.0
50,Alebuko,359.0,2018.0,0.0
57,Wore Illu,359.0,2018.0,0.0
68,Gishe Rabel,359.0,2018.0,0.0
67,Menz Gera Mider,359.0,2018.0,0.0
69,Antsokiya Gemza,359.0,2018.0,0.0
136,Kemisie Town,359.0,2018.0,0.0
71,Menz Mama Mider,359.0,2018.0,0.0
84,Menz Lalo Mider,359.0,2018.0,0.0
139,Shewa Robit,359.0,2018.0,0.0
72,Tarma Ber,359.0,2018.0,0.0
73,Mojana Wodera,359.0,2018.0,0.0
83,Menz Qeya Gebreal,359.0,2018.0,0.0
63,Mida Woremo,359.0,2018.0,0.0
64,Merehabete,359.0,2018.0,0.0
66,Moretina Jiru,359.0,2018.0,0.0
81,Basona Worena,359.0,2018.0,0.0
85,Seya Deberna Wayu,359.0,2018.0,0.0
65,Ensarona Wayo,359.0,2018.0,0.0
75,Angolelana Tera,359.0,2018.0,0.0
76,Asagirt,359.0,2018.0,0.0
77,Ankober,359.0,2018.0,0.0
82,Debre Birehan Town,359.0,2018.0,0.0
79,Berehet,359.0,2018.0,0.0
80,Minjarina Shenkora,359.0,2018.0,0.0
78,Hagere Mariam Kesem,359.0,2018.0,0.0
96,Baso Liben,359.0,2018.0,0.0
93,Debre Elias,359.0,2018.0,0.0
95,Gozamin,359.0,2018.0,0.0
102,Aneded,359.0,2018.0,0.0
97,Awabel,359.0,2018.0,0.0
99,Shebel Berenta,359.0,2018.0,0.0
98,Dejen,359.0,2018.0,0.0
92,Debaytelatgen,359.0,2018.0,0.0
91,Enemay,359.0,2018.0,0.0
101,Sinan,359.0,2018.0,0.0
110,Dembecha,359.0,2018.0,9.46723168588825E-6
94,Machakel,359.0,2018.0,0.0
100,Debre Markos Town,359.0,2018.0,0.0
116,Finoteselam Town,359.0,2018.0,0.0
112,Burie Zuria,359.0,2018.0,0.0
130,Guagusa Shekudad,359.0,2018.0,0.0
125,Banja,359.0,2018.0,0.0
126,Ankesha,359.0,2018.0,0.0
113,Womberma,359.0,2018.0,0.0
127,Guangua,359.0,2018.0,0.0
13,Quara,359.0,2018.0,0.0
129,Jawi,359.0,2018.0,0.0
115,South Achefer,359.0,2018.0,0.0
124,Dangila,359.0,2018.0,0.0
128,Fagita Lekoma,359.0,2018.0,0.0
103,North Achefer,359.0,2018.0,0.0
14,Alefa,359.0,2018.0,0.0
20,Takusa,359.0,2018.0,0.0
12,Metema,359.0,2018.0,0.0
11,Chilga,359.0,2018.0,0.0
5,Mirab Armachiho,359.0,2018.0,0.0
0,Adarkay,359.0,2018.0,0.0
18,Telemt,359.0,2018.0,0.0
74,Kewet,360.0,2018.0,0.023645419331552057
133,Jilie Timuga,360.0,2018.0,0.0
70,Efratana Gidim,360.0,2018.0,0.0
134,Artuma Fursi,360.0,2018.0,0.0
131,Dewa Chefa,360.0,2018.0,0.0
135,Dewa Harewa,360.0,2018.0,0.0
132,Bati,360.0,2018.0,0.0
138,Aregoba Sp. Wo.,360.0,2018.0,0.0
49,Kalu,360.0,2018.0,0.0
48,Worebabu,360.0,2018.0,0.0
121,Abargelie,360.0,2018.0,0.0
33,Raya Kobo,360.0,2018.0,0.0
39,Habru,360.0,2018.0,0.0
38,Guba Lafto,360.0,2018.0,0.0
34,Gidan,360.0,2018.0,0.0
40,Woldia Town,360.0,2018.0,0.0
46,Ambassel,360.0,2018.0,0.0
37,Delanta,360.0,2018.0,0.0
140,Kobo Town,360.0,2018.0,0.0
41,Lasta,360.0,2018.0,0.0
120,Gazgibla,360.0,2018.0,0.0
35,Mekit,360.0,2018.0,0.0
36,Wadla,360.0,2018.0,0.0
32,Bugna,360.0,2018.0,0.0
119,Dehena,360.0,2018.0,0.0
117,Zequala,360.0,2018.0,0.0
118,Seqota,360.0,2018.0,0.0
123,Sekota Town,360.0,2018.0,0.0
122,Sehela,360.0,2018.0,0.0
1,Beyeda,360.0,2018.0,0.0
2,Janamora,360.0,2018.0,0.0
16,Misrak Belesa,360.0,2018.0,0.0
21,Ebinat,360.0,2018.0,0.0
8,Wogera,360.0,2018.0,0.0
15,Mirab Belesa,360.0,2018.0,0.0
3,Debark,360.0,2018.0,0.0
4,Dabat,360.0,2018.0,0.0
19,Tach Armachiho,360.0,2018.0,0.0
6,Tegede,360.0,2018.0,0.0
7,Lay Armachiho,360.0,2018.0,0.0
17,Gondar Town,360.0,2018.0,0.0
9,Gondar Zuria,360.0,2018.0,0.0
22,Libokemkem,360.0,2018.0,0.0
10,Denbia,360.0,2018.0,0.0
23,Fogera,360.0,2018.0,0.0
24,Farta,360.0,2018.0,0.0
25,Lay Gayint,360.0,2018.0,0.0
26,Tach Gayint,360.0,2018.0,0.0
27,Simada,360.0,2018.0,0.0
43,Mekedela,360.0,2018.0,0.0
53,Sayint,360.0,2018.0,0.0
28,Estea,360.0,2018.0,0.0
31,Andabiet,360.0,2018.0,0.0
30,Debre Tabor Town,360.0,2018.0,0.0
29,Dera,360.0,2018.0,0.0
104,Bahir Dar Zuria,360.0,2018.0,0.0
137,Bahir Dar Town,360.0,2018.0,0.0
105,Yilmana Densa,360.0,2018.0,0.0
87,Hulet Iju Enesie,360.0,2018.0,0.0
114,Gonji Kolela,360.0,2018.0,0.0
109,Dega Damot,360.0,2018.0,0.0
106,Mecha,360.0,2018.0,0.0
108,Quarit,360.0,2018.0,0.0
107,Sekela,360.0,2018.0,0.0
111,Jabi Tehnan,360.0,2018.0,0.0
86,Bibugn,360.0,2018.0,0.0
90,Enarji Enawuga,360.0,2018.0,0.0
88,Goncha Siso Enese,360.0,2018.0,0.0
89,Enebse Sar Mider,360.0,2018.0,0.0
61,Mehal Sayint,360.0,2018.0,0.0
54,Borena,360.0,2018.0,0.0
58,Wogedi,360.0,2018.0,0.0
52,Legambo,360.0,2018.0,0.0
55,Kelela,360.0,2018.0,0.0
62,Legehida,360.0,2018.0,0.0
56,Jamma,360.0,2018.0,0.0
44,Tenta,360.0,2018.0,0.0
51,Dessie Zuria,360.0,2018.0,0.0
42,Dawunt,360.0,2018.0,0.0
45,Kuta Ber,360.0,2018.0,0.0
60,Dessie Town,360.0,2018.0,0.0
47,Tehulederie,360.0,2018.0,0.0
59,Kombolcha Town,360.0,2018.0,0.0
50,Alebuko,360.0,2018.0,0.0
57,Wore Illu,360.0,2018.0,0.0
68,Gishe Rabel,360.0,2018.0,0.0
67,Menz Gera Mider,360.0,2018.0,0.016925730399550934
69,Antsokiya Gemza,360.0,2018.0,0.0
136,Kemisie Town,360.0,2018.0,0.0
71,Menz Mama Mider,360.0,2018.0,0.10787697931386243
84,Menz Lalo Mider,360.0,2018.0,0.030868834302227605
139,Shewa Robit,360.0,2018.0,0.0
72,Tarma Ber,360.0,2018.0,0.02104327011863695
73,Mojana Wodera,360.0,2018.0,0.003459751557344865
83,Menz Qeya Gebreal,360.0,2018.0,0.0
63,Mida Woremo,360.0,2018.0,0.0
64,Merehabete,360.0,2018.0,0.0
66,Moretina Jiru,360.0,2018.0,0.0
81,Basona Worena,360.0,2018.0,0.01115451351363205
85,Seya Deberna Wayu,360.0,2018.0,7.770691569515899E-4
65,Ensarona Wayo,360.0,2018.0,0.0
75,Angolelana Tera,360.0,2018.0,0.01517172519058962
76,Asagirt,360.0,2018.0,0.0
77,Ankober,360.0,2018.0,0.0
82,Debre Birehan Town,360.0,2018.0,0.0
79,Berehet,360.0,2018.0,0.0
80,Minjarina Shenkora,360.0,2018.0,0.0
78,Hagere Mariam Kesem,360.0,2018.0,0.0
96,Baso Liben,360.0,2018.0,0.0
93,Debre Elias,360.0,2018.0,0.0
95,Gozamin,360.0,2018.0,0.0
102,Aneded,360.0,2018.0,0.0
97,Awabel,360.0,2018.0,0.0
99,Shebel Berenta,360.0,2018.0,0.0
98,Dejen,360.0,2018.0,0.0
92,Debaytelatgen,360.0,2018.0,0.0
91,Enemay,360.0,2018.0,0.0
101,Sinan,360.0,2018.0,0.0
110,Dembecha,360.0,2018.0,0.0
94,Machakel,360.0,2018.0,0.0
100,Debre Markos Town,360.0,2018.0,0.0
116,Finoteselam Town,360.0,2018.0,0.0
112,Burie Zuria,360.0,2018.0,0.0
130,Guagusa Shekudad,360.0,2018.0,0.0
125,Banja,360.0,2018.0,0.0
126,Ankesha,360.0,2018.0,0.0
113,Womberma,360.0,2018.0,0.0
127,Guangua,360.0,2018.0,0.0
13,Quara,360.0,2018.0,0.0
129,Jawi,360.0,2018.0,0.0
115,South Achefer,360.0,2018.0,0.0
124,Dangila,360.0,2018.0,0.0
128,Fagita Lekoma,360.0,2018.0,0.0
103,North Achefer,360.0,2018.0,0.0
14,Alefa,360.0,2018.0,0.0
20,Takusa,360.0,2018.0,0.0
12,Metema,360.0,2018.0,0.0
11,Chilga,360.0,2018.0,0.0
5,Mirab Armachiho,360.0,2018.0,0.0
0,Adarkay,360.0,2018.0,0.0
